Datetime,Open,High,Low,Close,Volume
2024-12-02,24140.85,24301.7,24008.65,24276.05,220384187.0
2024-12-03,24367.5,24481.35,24280.0,24457.15,339470947.0
2024-12-04,24488.75,24573.2,24366.3,24467.45,348003156.0
2024-12-05,24539.15,24857.75,24295.55,24708.4,361469920.0
2024-12-06,24729.45,24751.05,24620.5,24677.8,226731303.0
2024-12-09,24633.9,24705.0,24580.05,24619.0,248139308.0
2024-12-10,24652.65,24677.8,24510.65,24610.05,261048951.0
2024-12-11,24620.5,24691.75,24583.85,24641.8,187252712.0
2024-12-12,24604.45,24675.25,24527.95,24548.7,266051129.0
2024-12-13,24498.35,24792.3,24180.8,24768.3,310080852.0
2024-12-16,24753.4,24781.25,24601.75,24668.25,187551629.0
2024-12-17,24584.8,24624.1,24303.45,24336.0,264881033.0
2024-12-18,24297.95,24394.45,24149.85,24198.85,235346534.0
2024-12-19,23877.15,24004.9,23870.3,23951.7,271128027.0
2024-12-20,23960.7,24065.8,23537.35,23587.5,442714411.0
2024-12-23,23738.2,23869.55,23647.2,23753.45,189758237.0
2024-12-24,23769.1,23867.65,23685.15,23727.65,177664746.0
2024-12-26,23775.8,23854.5,23653.6,23750.2,177681783.0
2024-12-27,23801.4,23938.85,23800.6,23813.4,176821521.0
2024-12-30,23796.9,23915.35,23599.3,23644.9,364929453.0
2024-12-31,23560.6,23689.85,23460.45,23644.8,193627727.0
2025-01-01,23637.65,23822.8,23562.8,23742.9,154921938.0
2025-01-02,23783.0,24226.7,23751.55,24188.65,283200811.0
2025-01-03,24196.4,24196.45,23976.0,24004.75,312279515.0
2025-01-06,24045.8,24089.95,23551.9,23616.05,278061806.0
2025-01-07,23679.9,23795.2,23637.8,23707.9,262337253.0
2025-01-08,23746.65,23751.85,23496.15,23688.95,266375381.0
2025-01-09,23674.75,23689.5,23503.05,23526.5,269239831.0
2025-01-10,23551.9,23596.6,23344.35,23431.5,261022434.0
2025-01-13,23195.4,23340.95,23047.25,23085.95,316481107.0
2025-01-14,23165.9,23264.95,23134.15,23176.05,311235510.0
2025-01-15,23250.45,23293.65,23146.45,23213.2,228039156.0
2025-01-16,23377.25,23391.65,23272.05,23311.8,299416081.0
2025-01-17,23277.1,23292.1,23100.35,23203.2,272945267.0
2025-01-20,23290.4,23391.1,23170.65,23344.75,301455455.0
2025-01-21,23421.65,23426.3,22976.85,23024.65,312871897.0
2025-01-22,23099.15,23169.55,22981.3,23155.35,275951918.0
2025-01-23,23128.3,23270.8,23090.65,23205.35,275558357.0
2025-01-24,23183.9,23347.3,23050.0,23092.2,264336332.0
2025-01-27,22940.15,23007.45,22786.9,22829.15,257372790.0
2025-01-28,22960.45,23137.95,22857.65,22957.25,361868609.0
2025-01-29,23026.75,23183.35,22976.5,23163.1,226313040.0
2025-01-30,23169.5,23322.05,23139.2,23249.5,384687127.0
2025-01-31,23296.75,23546.8,23277.4,23508.4,326919177.0
2025-02-01,23528.6,23632.45,23318.3,23482.15,287703637.0
2025-02-03,23319.35,23381.6,23222.0,23361.05,347241171.0
2025-02-04,23509.9,23762.75,23423.15,23739.25,376742506.0
2025-02-05,23801.75,23807.3,23680.45,23696.3,267014345.0
2025-02-06,23761.95,23773.55,23556.25,23603.35,306978683.0
2025-02-07,23649.5,23694.5,23443.2,23559.95,368092482.0
2025-02-10,23543.8,23568.6,23316.3,23381.6,234202469.0
2025-02-11,23383.55,23390.05,22986.65,23071.8,267969979.0
2025-02-12,23050.8,23144.7,22798.35,23045.25,279656513.0
2025-02-13,23055.75,23235.5,22992.2,23031.4,265706855.0
2025-02-14,23096.45,23133.7,22774.85,22929.25,254479643.0
2025-02-17,22809.9,22974.2,22725.45,22959.5,207393944.0
2025-02-18,22963.65,22992.5,22801.5,22945.3,210616675.0
2025-02-19,22847.25,23049.95,22814.85,22932.9,206999204.0
2025-02-20,22821.1,22923.85,22812.75,22913.15,240836647.0
2025-02-21,22857.2,22921.0,22720.3,22795.9,242753984.0
2025-02-24,22609.35,22668.05,22518.8,22553.35,214317552.0
2025-02-25,22516.45,22625.3,22513.9,22547.55,250279519.0
2025-02-27,22568.95,22613.3,22508.4,22545.05,289230479.0
2025-02-28,22433.4,22450.35,22104.85,22124.7,551285287.0
2025-03-03,22194.55,22261.55,22004.7,22119.3,282399735.0
2025-03-04,21974.45,22105.05,21964.6,22082.65,253260641.0
2025-03-05,22073.05,22394.9,22067.8,22337.3,305942691.0
2025-03-06,22476.35,22556.45,22245.85,22544.7,372083680.0
2025-03-07,22508.65,22633.8,22464.75,22552.5,289765795.0
2025-03-10,22521.85,22676.75,22429.05,22460.3,293855491.0
2025-03-11,22345.95,22522.1,22314.7,22497.9,347924102.0
2025-03-12,22536.35,22577.4,22329.55,22470.5,369736725.0
2025-03-13,22541.5,22558.05,22377.35,22397.2,287535243.0
2025-03-17,22353.15,22577.0,22353.15,22508.75,251102239.0
2025-03-18,22662.25,22857.8,22599.2,22834.3,272578844.0
2025-03-19,22874.95,22940.7,22807.95,22907.6,323992121.0
2025-03-20,23036.6,23216.7,22973.95,23190.65,313729818.0
2025-03-21,23168.25,23402.7,23132.8,23350.4,540966316.0
2025-03-24,23515.4,23708.75,23433.5,23658.35,311900413.0
2025-03-25,23751.5,23869.6,23601.4,23668.65,338216746.0
2025-03-26,23700.95,23736.5,23451.7,23486.85,278590831.0
2025-03-27,23433.95,23646.45,23412.2,23591.95,510302142.0
2025-03-28,23600.4,23649.2,23450.2,23519.35,387455531.0
2025-04-01,23341.1,23565.15,23136.4,23165.7,375118343.0
2025-04-02,23192.6,23350.0,23158.45,23332.35,340970371.0
2025-04-03,23150.3,23306.5,23145.8,23250.1,283196379.0
2025-04-04,23190.4,23214.7,22857.45,22904.45,466776198.0
2025-04-07,21758.4,22254.0,21743.65,22161.6,647107618.0
2025-04-08,22446.75,22697.2,22270.85,22535.85,468250807.0
2025-04-09,22460.3,22468.7,22353.25,22399.15,383822618.0
2025-04-11,22695.4,22923.9,22695.4,22828.55,402162001.0
2025-04-15,23368.35,23368.35,23207.0,23328.55,388321931.0
2025-04-16,23344.1,23452.2,23273.05,23437.2,348424960.0
2025-04-17,23401.85,23872.35,23298.55,23851.65,0.0
2025-04-21,23949.15,24189.55,23903.65,24125.55,0.0
2025-04-22,24185.4,24242.6,24072.0,24167.25,440940490.0
2025-04-23,24357.6,24359.3,24119.95,24328.95,415042544.0
2025-04-24,24277.9,24347.85,24216.15,24246.7,358768165.0
2025-04-25,24289.0,24365.45,23847.85,24039.35,387741866.0
2025-04-28,24070.25,24355.1,24054.05,24328.5,320467976.0
2025-04-29,24370.7,24457.65,24290.75,24335.95,357563224.0
2025-04-30,24342.05,24396.15,24198.75,24334.2,424452559.0
2025-05-02,24311.9,24589.15,24238.5,24346.7,421112627.0
2025-05-05,24419.5,24526.4,24400.65,24461.15,291471628.0
2025-05-06,24500.75,24509.65,24331.8,24379.6,302354059.0
2025-05-07,24233.3,24449.6,24220.0,24414.4,330137191.0
2025-05-08,24431.5,24447.25,24150.2,24273.8,411362230.0
2025-05-09,23935.75,24164.25,23935.75,24008.0,335550680.0
2025-05-12,24420.1,24944.8,24378.85,24924.7,368707684.0
2025-05-13,24864.05,24973.8,24547.5,24578.35,422977876.0
2025-05-14,24613.8,24767.55,24535.55,24666.9,345490805.0
2025-05-15,24694.45,25116.25,24494.45,25062.1,500821889.0
2025-05-16,25064.65,25070.0,24953.05,25019.8,432717092.0
2025-05-19,25005.35,25062.95,24916.65,24945.45,255254340.0
2025-05-20,24996.2,25010.35,24669.7,24683.9,414799113.0
2025-05-21,24744.25,24946.2,24685.35,24813.45,332724952.0
2025-05-22,24733.95,24737.5,24462.4,24609.7,403279638.0
2025-05-23,24639.5,24909.05,24614.05,24853.15,270470348.0
2025-05-26,24919.35,25079.2,24900.5,25001.15,302799227.0
2025-05-27,24956.65,25062.9,24704.1,24826.2,525653668.0
2025-05-28,24832.5,24864.25,24737.05,24752.45,684425321.0
2025-05-29,24825.1,24892.6,24677.3,24833.6,345370611.0
2025-05-30,24812.6,24863.95,24717.4,24750.7,853890978.0
2025-06-02,24669.7,24754.4,24526.15,24716.6,311100908.0
2025-06-03,24786.3,24845.1,24502.15,24542.5,349288937.0
2025-06-04,24560.45,24644.25,24530.45,24620.2,280862575.0
2025-06-05,24691.2,24899.85,24613.1,24750.9,388405978.0
2025-06-06,24748.7,25029.5,24671.45,25003.05,335581057.0
2025-06-09,25160.1,25160.1,25077.15,25103.2,279219989.0
2025-06-10,25196.05,25199.3,25055.45,25104.25,307323471.0
2025-06-11,25134.15,25222.4,25081.3,25141.4,301245273.0
2025-06-12,25164.45,25196.2,24825.9,24888.2,328310748.0
2025-06-13,24473.0,24754.35,24473.0,24718.6,318711364.0
2025-06-16,24732.35,24967.1,24703.6,24946.5,305813047.0
2025-06-17,24977.85,24982.05,24813.7,24853.4,242415740.0
2025-06-18,24788.35,24947.55,24750.45,24812.05,237599011.0
2025-06-19,24803.25,24863.1,24733.4,24793.25,274619935.0
2025-06-20,24787.65,25136.2,24783.65,25112.4,574654035.0
2025-06-23,24939.75,25057.0,24824.85,24971.9,248534153.0
2025-06-24,25179.9,25317.7,24999.7,25044.35,450185468.0
2025-06-25,25150.35,25266.8,25125.05,25244.75,260582584.0
2025-06-26,25268.95,25565.3,25259.9,25549.0,428891818.0
2025-06-27,25576.65,25654.2,25523.55,25637.8,563957748.0
2025-06-30,25661.65,25669.35,25473.3,25517.05,270981274.0
2025-07-01,25551.35,25593.4,25501.8,25541.8,260669106.0
2025-07-02,25588.3,25608.1,25378.75,25453.4,309828013.0
2025-07-04,25428.85,25470.25,25331.65,25461.0,193511595.0
2025-07-07,25450.45,25489.8,25407.25,25461.3,196051345.0
2025-07-08,25427.85,25548.05,25424.15,25522.5,210410530.0
2025-07-09,25514.6,25548.7,25424.35,25476.1,239081546.0
2025-07-10,25511.65,25524.05,25340.45,25355.25,219609322.0
2025-07-11,25255.5,25322.45,25129.0,25149.85,249987681.0
2025-07-14,25149.5,25151.1,25001.95,25082.3,259533624.0
2025-07-15,25089.5,25245.2,25088.45,25195.8,241340130.0
2025-07-16,25196.6,25255.3,25121.05,25212.05,228815928.0
2025-07-17,25230.75,25238.35,25101.0,25111.45,243412540.0
2025-07-18,25108.55,25144.6,24918.65,24968.4,316979826.0
2025-07-21,24999.0,25111.4,24882.3,25090.7,305216414.0
2025-07-22,25166.65,25182.0,25035.55,25060.9,483725120.0
2025-07-23,25139.35,25233.5,25085.5,25219.9,271539651.0
2025-07-24,25243.3,25246.25,25018.7,25062.1,338728860.0
2025-07-25,25010.35,25010.35,24806.35,24837.0,278136104.0
2025-07-28,24782.45,24889.2,24646.6,24680.9,262142969.0
2025-07-29,24609.65,24847.15,24598.6,24821.1,284657235.0
2025-07-30,24890.4,24902.3,24771.95,24855.05,243886726.0
2025-07-31,24642.25,24956.5,24635.0,24768.35,346303628.0
2025-08-01,24734.9,24784.15,24535.05,24565.35,263357194.0
2025-08-04,24596.05,24736.25,24554.0,24722.75,259329477.0
2025-08-05,24720.25,24733.1,24590.3,24649.55,251849778.0
2025-08-06,24641.35,24671.4,24539.2,24574.2,225091071.0
2025-08-07,24464.2,24634.2,24344.15,24596.15,616739190.0
2025-08-08,24544.25,24585.5,24337.5,24363.3,312630157.0
2025-08-11,24371.5,24600.85,24347.45,24585.05,241145497.0
2025-08-12,24563.35,24702.6,24465.65,24487.4,237002462.0
2025-08-13,24586.2,24664.55,24535.25,24619.35,236006791.0
2025-08-14,24607.25,24673.65,24596.9,24631.3,270162203.0
2025-08-18,24938.2,25022.0,24852.85,24876.95,363071305.0
2025-08-19,24891.35,25012.65,24873.95,24980.65,252340828.0
2025-08-20,24965.8,25088.7,24929.7,25050.55,287054119.0
2025-08-21,25142.0,25153.65,25054.9,25083.75,226542052.0
2025-08-22,25064.15,25084.85,24859.15,24870.1,210165384.0
2025-08-25,24949.15,25021.55,24894.35,24967.75,213032133.0
2025-08-26,24899.5,24919.65,24689.6,24712.05,750473927.0
2025-08-28,24695.8,24702.65,24481.6,24500.9,326601486.0
2025-08-29,24466.7,24572.45,24404.7,24426.85,325543583.0
2025-09-01,24432.7,24635.6,24432.7,24625.05,229327424.0
2025-09-02,24653.0,24756.1,24522.35,24579.6,271558516.0
2025-09-03,24616.5,24737.05,24533.2,24715.05,340283328.0
2025-09-04,24980.75,24980.75,24708.2,24734.3,314094160.0
2025-09-05,24818.85,24832.35,24621.6,24741.0,210071924.0
2025-09-08,24802.6,24885.5,24751.55,24773.15,213228202.0
2025-09-09,24864.1,24891.8,24814.0,24868.6,226919775.0
2025-09-10,24991.0,25035.7,24915.05,24973.1,244146466.0
2025-09-11,24945.5,25037.3,24940.15,25005.5,224570983.0
2025-09-12,25074.45,25139.45,25038.05,25114.0,225739766.0
2025-09-15,25118.9,25138.45,25048.75,25069.2,185375759.0
2025-09-16,25073.6,25261.4,25070.45,25239.1,240122320.0
2025-09-17,25276.6,25346.5,25275.35,25330.25,268936695.0
2025-09-18,25441.05,25448.95,25329.75,25423.6,272193683.0
2025-09-19,25410.2,25431.4,25286.3,25327.05,380362832.0
2025-09-22,25238.1,25331.7,25151.05,25202.35,254509892.0
2025-09-23,25209.0,25261.9,25084.65,25169.5,299204338.0
2025-09-24,25108.75,25149.85,25027.45,25056.9,244382281.0
2025-09-25,25034.5,25092.7,24878.3,24890.85,342534768.0
2025-09-26,24818.55,24868.6,24629.45,24654.7,291537949.0
2025-09-29,24728.55,24791.3,24606.2,24634.9,394388242.0
2025-09-30,24691.95,24731.8,24587.7,24611.1,304924720.0
2025-10-01,24620.55,24867.95,24605.95,24836.3,308135228.0
2025-10-03,24759.55,24904.8,24747.55,24894.25,366929642.0
2025-10-06,24916.55,25095.95,24881.65,25077.65,271953070.0
2025-10-07,25085.3,25220.9,25076.3,25108.3,286833765.0
2025-10-08,25079.75,25192.5,25008.5,25046.15,225967495.0
2025-10-09,25074.3,25199.25,25024.3,25181.8,286253252.0
2025-10-10,25167.65,25330.75,25156.85,25285.35,232943306.0
2025-10-13,25177.3,25267.3,25152.3,25227.35,234285202.0
2025-10-14,25277.55,25310.35,25060.55,25145.5,292129083.0
2025-10-15,25181.95,25365.15,25159.35,25323.55,289930172.0
2025-10-16,25394.9,25625.4,25376.85,25585.3,372777021.0
2025-10-17,25546.85,25781.5,25508.6,25709.85,422055809.0
2025-10-20,25824.6,25926.2,25788.5,25843.15,301133193.0
2025-10-21,25901.2,25934.35,25825.8,25868.6,42477128.0
2025-10-23,26057.2,26104.2,25862.45,25891.4,448404894.0
2025-10-24,25935.1,25944.15,25718.2,25795.15,284913477.0
2025-10-27,25843.2,26005.95,25827.0,25966.05,266337274.0
2025-10-28,25939.95,26041.7,25810.05,25936.2,395231207.0
2025-10-29,25982.0,26097.85,25960.3,26053.9,321880610.0
2025-10-30,25984.4,26032.05,25845.25,25877.85,257373001.0
2025-10-31,25863.8,25953.75,25711.2,25722.1,334384400.0
2025-11-03,25696.85,25803.1,25645.5,25763.35,275858501.0
2025-11-04,25744.75,25787.4,25578.4,25597.65,305143084.0
2025-11-06,25593.35,25679.15,25491.55,25509.7,371852417.0
2025-11-07,25433.8,25551.25,25318.45,25492.3,305606393.0
2025-11-10,25503.5,25653.45,25503.5,25574.35,243592948.0
2025-11-11,25617.0,25715.8,25449.25,25694.95,297714069.0
2025-11-12,25834.3,25934.55,25781.15,25875.8,312591022.0
2025-11-13,25906.1,26010.7,25808.4,25879.15,373090499.0
2025-11-14,25767.9,25940.2,25740.8,25910.05,518943416.0
2025-11-17,25948.2,26024.2,25906.35,26013.45,264610565.0
2025-11-18,26021.8,26029.85,25876.5,25910.05,280000989.0
2025-11-19,25918.1,26074.65,25856.2,26052.65,250110008.0
2025-11-20,26132.1,26246.65,26063.2,26192.15,240425729.0
2025-11-21,26109.55,26179.2,26052.2,26068.15,235581427.0
2025-11-24,26122.8,26142.8,25912.15,25959.5,464655063.0
2025-11-25,25998.5,26032.6,25857.5,25884.8,260454909.0
2025-11-26,25842.95,26215.15,25842.95,26205.3,275265169.0
2025-11-27,26261.25,26310.45,26141.9,26215.55,240287057.0
2025-11-28,26237.45,26280.75,26172.4,26202.95,202511545.0
2025-12-01,26325.8,26325.8,26124.2,26175.75,213828573.0
2025-12-02,26087.95,26154.6,25997.85,26032.2,254803113.0
2025-12-03,26004.9,26066.45,25891.0,25986.0,265660108.0
2025-12-04,25981.85,26098.25,25938.95,26033.75,248099545.0
2025-12-05,25999.8,26202.6,25985.35,26186.45,249254405.0
2025-12-08,26159.8,26178.7,25892.25,25960.55,320729920.0
2025-12-09,25867.1,25923.65,25728.0,25839.65,275978160.0
2025-12-10,25864.05,25947.65,25734.55,25758.0,207944446.0
2025-12-11,25771.4,25922.8,25693.25,25898.55,206099631.0
2025-12-12,25971.2,26057.6,25938.45,26046.95,216344338.0
2025-12-15,25930.05,26047.15,25904.75,26027.3,181557703.0
2025-12-16,25951.5,25980.75,25834.35,25860.1,264351195.0
2025-12-17,25902.4,25929.15,25770.35,25818.55,206521258.0
2025-12-18,25764.7,25902.35,25726.3,25815.55,197553755.0
2025-12-19,25911.5,25993.35,25880.45,25966.4,382927284.0
2025-12-22,26055.85,26180.7,26047.8,26172.4,252990050.0
2025-12-23,26205.2,26233.55,26119.05,26177.15,216553840.0
2025-12-24,26170.65,26236.4,26123.0,26142.1,188846828.0
2025-12-26,26121.25,26144.2,26008.6,26042.3,142243763.0
2025-12-29,26063.35,26106.8,25920.3,25942.1,234312888.0
2025-12-30,25940.9,25976.75,25878.0,25938.85,396893959.0
2025-12-31,25971.05,26187.95,25969.0,26129.6,246314941.0
2026-01-01,26173.3,26197.55,26113.4,26146.55,425631910.0
2026-01-02,26155.1,26340.0,26118.4,26328.55,357547806.0
2026-01-05,26333.7,26373.2,26210.05,26250.3,338777649.0
2026-01-06,26189.7,26273.95,26124.75,26178.7,383040203.0
2026-01-07,26143.1,26187.15,26067.9,26140.75,338216740.0
2026-01-08,26106.5,26133.2,25858.45,25876.85,328520950.0
2026-01-09,25840.4,25940.6,25623.0,25683.3,348757262.0
2026-01-12,25669.05,25813.15,25473.4,25790.25,275757268.0
2026-01-13,25897.35,25899.8,25603.3,25732.3,339536336.0
2026-01-14,25648.55,25791.75,25603.95,25665.6,393126596.0
2026-01-16,25696.05,25873.5,25662.4,25694.35,434041776.0
2026-01-19,25653.1,25653.3,25494.35,25585.5,443087953.0
2026-01-20,25580.3,25585.0,25171.35,25232.5,409772324.0
2026-01-21,25141.0,25300.95,24919.8,25157.5,395624981.0
2026-01-22,25344.15,25435.75,25168.5,25289.9,486395433.0
2026-01-23,25344.6,25347.95,25025.3,25048.65,393944908.0
2026-01-27,25063.35,25246.65,24932.55,25175.4,618696080.0
2026-01-28,25258.85,25372.1,25187.65,25342.75,574903942.0
2026-01-29,25345.0,25458.15,25159.8,25418.9,582389331.0
2026-01-30,25247.55,25370.7,25213.65,25320.65,508388604.0
2026-02-01,25333.75,25440.9,24571.75,24825.45,379370206.0
2026-02-02,24796.5,25108.1,24679.4,25088.4,449215604.0
2026-02-03,26308.05,26341.2,25641.3,25727.55,637263148.0
2026-02-04,25675.05,25818.55,25563.95,25776.0,429788986.0
2026-02-05,25755.9,25757.65,25579.5,25642.8,343812628.0
2026-02-06,25605.8,25703.95,25491.9,25693.7,375476124.0
2026-02-09,25888.7,25922.25,25780.9,25867.3,359386006.0
2026-02-10,25922.65,25989.45,25870.45,25935.15,460878237.0
2026-02-11,25997.45,26009.4,25899.8,25953.85,331389240.0
2026-02-12,25906.7,25906.7,25752.4,25807.2,419388014.0
2026-02-13,25571.15,25630.35,25444.3,25471.1,453523192.0
2026-02-16,25423.6,25697.0,25372.7,25682.75,275771857.0
2026-02-17,25637.95,25764.4,25570.3,25725.4,344120117.0
2026-02-18,25752.65,25828.05,25645.15,25819.35,400807585.0
2026-02-19,25873.35,25885.3,25388.75,25454.35,333658812.0
2026-02-20,25406.55,25663.55,25379.75,25571.25,309373691.0
2026-02-23,25678.4,25771.45,25609.35,25713.0,399135843.0
2026-02-24,25641.8,25641.8,25327.6,25424.65,439068188.0
2026-02-25,25512.6,25652.6,25428.2,25482.5,414215742.0
2026-02-26,25556.3,25572.95,25400.95,25496.55,405219244.0
2026-02-27,25459.85,25476.4,25141.3,25178.65,438924282.0
2026-03-02,24659.25,24989.35,24603.5,24865.7,519228821.0
2026-03-04,24388.8,24602.45,24305.4,24480.5,598993881.0
2026-03-05,24615.95,24854.2,24529.4,24765.9,504339053.0
2026-03-06,24656.4,24700.8,24415.75,24450.45,433408256.0
2026-03-09,23868.05,24078.15,23697.8,24028.05,526901605.0
2026-03-10,24280.8,24303.8,24079.95,24261.6,444283436.0
2026-03-11,24231.85,24299.0,23834.3,23866.85,407400643.0
2026-03-12,23674.85,23833.15,23556.3,23639.15,501004098.0
2026-03-13,23462.5,23492.4,23112.0,23151.1,519776752.0
2026-03-16,23116.1,23502.0,22955.25,23408.8,540293230.0
2026-03-17,23493.2,23656.8,23346.6,23581.15,458788167.0
2026-03-18,23632.9,23862.25,23618.45,23777.8,382876401.0
2026-03-19,23197.75,23378.7,22930.35,23002.15,550147401.0
2026-03-20,23110.15,23345.15,23067.6,23114.5,663289390.0
2026-03-23,22824.35,22851.7,22471.25,22512.65,550275334.0
2026-03-24,22878.45,23057.3,22624.2,22912.4,538098322.0
2026-03-25,23064.4,23465.35,23063.2,23306.45,505418973.0
2026-03-27,23173.55,23186.1,22804.55,22819.6,612556883.0
2026-03-30,22549.65,22714.1,22283.85,22331.4,698599891.0
2026-04-01,22899.0,22941.3,22618.6,22679.4,517954448.0
2026-04-02,22383.4,22782.3,22182.55,22713.1,495121035.0
2026-04-06,22780.3,22998.35,22542.95,22968.25,426416812.0
2026-04-07,22838.7,23153.85,22719.3,23123.65,476981883.0
2026-04-08,23855.15,24025.15,23828.5,23997.35,639257993.0
2026-04-09,23909.05,23990.75,23682.8,23775.1,466587329.0
2026-04-10,23880.55,24074.05,23856.35,24050.6,481302436.0
2026-04-13,23589.6,23907.4,23555.6,23842.65,488844789.0
2026-04-15,24163.8,24280.9,24145.8,24231.3,460334041.0
2026-04-16,24385.2,24400.95,24102.8,24196.75,508017772.0
2026-04-17,24165.9,24371.9,24096.05,24353.55,498625189.0
2026-04-20,24391.5,24480.65,24241.25,24364.85,415942883.0
2026-04-21,24374.55,24601.7,24354.9,24576.6,425826834.0
2026-04-22,24470.85,24515.95,24352.9,24378.1,440524292.0
2026-04-23,24202.35,24310.2,24134.8,24173.05,467549860.0
2026-04-24,24100.55,24206.0,23813.65,23897.95,438433486.0
2026-04-27,23945.45,24130.7,23936.2,24092.7,430297937.0
2026-04-28,24049.9,24181.8,23957.05,23995.7,554134344.0
2026-04-29,24096.9,24334.7,24059.95,24177.65,531122966.0
2026-04-30,23996.95,24087.45,23796.85,23997.55,505520648.0
2026-05-04,24063.55,24290.2,24004.75,24119.3,419069793.0
2026-05-05,24052.6,24081.7,23882.05,24032.8,363297728.0
2026-05-06,24171.0,24356.5,23997.9,24330.95,429190144.0
2026-05-07,24398.5,24482.1,24284.0,24326.65,440621691.0
2026-05-08,24233.65,24253.8,24126.65,24176.15,335887188.0
2026-05-11,23970.1,23997.45,23799.1,23815.85,390108343.0
2026-05-12,23722.6,23757.55,23348.4,23379.55,447518189.0
2026-05-13,23362.45,23582.95,23262.55,23412.6,415359044.0
2026-05-14,23530.25,23777.2,23426.55,23689.6,428735424.0
2026-05-15,23731.4,23839.3,23610.3,23643.5,408864566.0
2026-05-18,23482.2,23695.65,23317.1,23649.95,391968426.0
2026-05-19,23675.3,23782.3,23587.2,23618.0,441953184.0
2026-05-20,23457.25,23690.9,23397.3,23659.0,344050591.0
2026-05-21,23830.05,23859.9,23596.6,23654.7,348183907.0
2026-05-22,23671.2,23835.65,23671.0,23719.3,336108649.0
2026-05-25,23940.25,24054.45,23922.85,24031.7,351224048.0
2026-05-26,24004.1,24089.8,23885.45,23913.7,387932940.0
2026-05-27,23880.35,23983.2,23858.25,23907.15,531572650.0
2026-05-29,23902.15,24002.8,23484.75,23547.75,1198023438.0
2026-06-01,23654.5,23733.7,23357.95,23382.6,421691204.0
2026-06-02,23229.15,23556.95,23229.15,23483.55,511852817.0
2026-06-03,23415.95,23459.65,23151.5,23405.6,450089851.0
2026-06-04,23282.45,23465.3,23247.3,23416.55,412505524.0
2026-06-05,23478.95,23516.35,23282.65,23366.7,366208223.0
2026-06-08,23080.7,23267.3,23070.15,23123.0,375730763.0
2026-06-09,23259.05,23279.4,23104.45,23242.1,402552937.0
2026-06-10,23233.95,23425.35,23184.6,23214.95,380030627.0
2026-06-11,23104.4,23327.45,23072.05,23161.6,362996956.0
2026-06-12,23412.55,23645.35,23313.9,23622.9,351944432.0
2026-06-15,23984.85,24011.4,23817.8,23853.9,398913735.0
2026-06-16,23923.9,24002.6,23888.2,23989.15,327307262.0
2026-06-17,24044.5,24108.2,23969.7,24085.7,352665809.0
2026-06-18,24073.8,24189.25,24036.95,24168.0,339988612.0
2026-06-19,23991.2,24047.2,23901.9,24013.1,447858148.0
2026-06-22,24106.6,24168.05,24073.15,24102.9,252821156.0
2026-06-23,24071.3,24135.5,23784.95,23824.1,340090069.0
2026-06-24,23795.8,24090.05,23789.25,24021.65,395578738.0
2026-06-25,24125.85,24261.6,24039.0,24056.0,448752143.0
2026-06-29,24061.75,24120.0,23924.55,23946.25,588498045.0
2026-06-30,24032.05,24035.55,23829.2,23917.75,446000386.0
2026-07-01,23897.65,24049.9,23895.1,24005.85,352148975.0
2026-07-02,24175.7,24175.7,24175.7,24175.7,0.0
2026-07-03,24375.65,24378.15,24252.35,24270.85,326634751.0
2026-07-06,24430.35,24430.35,24430.35,24430.35,0
